时间 (CST)CST,纬度纬度,经度经度,航向航向,节,公里/小时,米,爬升率,报告设施

Airline,,,
星期五 14:09:0002:09下午    离开停机位 (PVG) @ 星期五 14:09:00 CST,,,Airline
Surface and Near-Surface,,,
滑行时间: 47 分钟,,,
星期五 14:56:0802:56下午    出发 (PVG) @ 星期五 14:56:08 CST,,,Surface and Near-Surface
星期五 23:25:1711:25下午,-22.0823-22.08,162.6210162.62,↘ 144°,508,941,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:27:1411:27下午,-22.3050-22.30,162.7978162.80,↘ 143°,510,945,"11,88711887",2,FlightAware ADS-B  (GEA / NWWM)
星期五 23:28:2711:28下午,-22.4435-22.44,162.9082162.91,↘ 143°,510,945,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:29:2311:29下午,-22.5509-22.55,162.9940162.99,↘ 143°,511,946,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
Estimated,,,
星期五 23:31:1511:31下午,-22.7686-22.77,163.1445163.14,↘ 147°,,,,,Estimated
FlightAware ADS-B,,,
星期五 23:31:3111:31下午,-22.7931-22.79,163.1881163.19,↘ 143°,512,948,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:32:0611:32下午,-22.8601-22.86,163.2421163.24,↘ 143°,512,948,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:33:4711:33下午,-23.0510-23.05,163.3959163.40,↘ 143°,512,948,"11,88711887",3,FlightAware ADS-B  (GEA / NWWM)
星期五 23:34:2011:34下午,-23.1140-23.11,163.4467163.45,↘ 143°,512,948,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:34:5011:34下午,-23.1723-23.17,163.4939163.49,↘ 143°,511,946,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:35:2011:35下午,-23.2285-23.23,163.5394163.54,↘ 143°,511,946,"11,88711887",-5,FlightAware ADS-B  (GEA / NWWM)
星期五 23:36:2011:36下午,-23.3425-23.34,163.6318163.63,↘ 143°,513,950,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:36:5011:36下午,-23.3999-23.40,163.6785163.68,↘ 143°,514,953,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:37:4511:37下午,-23.5050-23.50,163.7640163.76,↘ 143°,514,953,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:38:1811:38下午,-23.5669-23.57,163.8145163.81,↘ 143°,513,950,"11,88711887",5,FlightAware ADS-B  (GEA / NWWM)
星期五 23:39:1211:39下午,-23.6710-23.67,163.8994163.90,↘ 143°,513,950,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:40:1511:40下午,-23.7904-23.79,163.9971164.00,↘ 143°,515,954,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:40:4511:40下午,-23.8484-23.85,164.0446164.04,↘ 143°,515,954,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:41:1511:41下午,-23.9048-23.90,164.0908164.09,↘ 143°,516,956,"11,88711887",-5,FlightAware ADS-B  (GEA / NWWM)
星期五 23:42:1111:42下午,-24.0126-24.01,164.1794164.18,↘ 143°,518,959,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:42:4111:42下午,-24.0704-24.07,164.2270164.23,↘ 143°,518,959,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:43:1111:43下午,-24.1285-24.13,164.2749164.27,↘ 143°,517,958,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:43:4111:43下午,-24.1844-24.18,164.3210164.32,↘ 143°,515,954,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:44:1611:44下午,-24.2498-24.25,164.3751164.38,↘ 143°,515,954,"11,88011880",-7,FlightAware ADS-B  (GEA / NWWM)
星期五 23:44:4611:44下午,-24.3079-24.31,164.4230164.42,↘ 143°,515,954,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:45:1611:45下午,-24.3650-24.36,164.4704164.47,↘ 143°,516,956,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:45:5311:45下午,-24.4354-24.44,164.5287164.53,↘ 143°,517,958,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:46:4611:46下午,-24.5373-24.54,164.6134164.61,↘ 143°,519,961,"11,88011880",5,FlightAware ADS-B  (GEA / NWWM)
星期五 23:47:1611:47下午,-24.5940-24.59,164.6606164.66,↘ 143°,519,961,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:47:4611:47下午,-24.6520-24.65,164.7089164.71,↘ 143°,519,961,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:48:1611:48下午,-24.7101-24.71,164.7573164.76,↘ 143°,521,966,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:49:1311:49下午,-24.8187-24.82,164.8480164.85,↘ 143°,521,966,"11,88011880",-4,FlightAware ADS-B  (GEA / NWWM)
星期五 23:50:1311:50下午,-24.9349-24.93,164.9454164.95,↘ 143°,519,961,"11,88011880",5,FlightAware ADS-B  (GEA / NWWM)
星期五 23:50:4311:50下午,-24.9924-24.99,164.9936164.99,↘ 143°,518,959,"11,88711887",7,FlightAware ADS-B  (GEA / NWWM)
星期五 23:51:2211:51下午,-25.0664-25.07,165.0551165.06,↘ 143°,518,959,"11,88711887",-5,FlightAware ADS-B  (GEA / NWWM)
星期五 23:52:2311:52下午,-25.1822-25.18,165.1515165.15,↘ 143°,519,961,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:52:5611:52下午,-25.2446-25.24,165.2034165.20,↘ 143°,518,959,"11,88711887",,FlightAware ADS-B  (GEA / NWWM)
Estimated,,,
星期五 23:55:1211:55下午,-25.5085-25.51,165.3899165.39,↘ 147°,,,,,Estimated
星期五 23:56:1911:56下午,-25.6384-25.64,165.4821165.48,↘ 147°,,,,,Estimated
FlightAware ADS-B,,,
星期五 23:56:2411:56下午,-25.6417-25.64,165.5361165.54,↘ 143°,509,943,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期五 23:56:5911:56下午,-25.7076-25.71,165.5915165.59,↘ 143°,509,943,"11,88011880",5,FlightAware ADS-B  (NWWB)
星期五 23:57:4611:57下午,-25.7954-25.80,165.6655165.67,↘ 143°,509,943,"11,88711887",,FlightAware ADS-B  (NWWB)
星期五 23:59:3411:59下午,-25.9976-26.00,165.8366165.84,↘ 143°,508,941,"11,88011880",-3,FlightAware ADS-B  (GEA / NWWM)
星期六 00:00:0412:00上午,-26.0527-26.05,165.8834165.88,↘ 143°,507,938,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期六 00:02:1312:02上午,-26.2947-26.29,166.0894166.09,↘ 143°,507,938,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期六 00:02:4412:02上午,-26.3510-26.35,166.1375166.14,↘ 142°,505,935,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期六 00:03:2912:03上午,-26.4358-26.44,166.2099166.21,↘ 142°,505,935,"11,88011880",,FlightAware ADS-B  (GEA / NWWM)
星期六 00:04:0012:04上午,-26.4925-26.49,166.2585166.26,↘ 142°,505,935,"11,88011880",1,FlightAware ADS-B  (GEA / NWWM)
Estimated,,,
星期六 00:06:1812:06上午,-26.7606-26.76,166.4494166.45,↘ 148°,,,,,Estimated
星期六 00:08:1912:08上午,-26.9954-27.00,166.6175166.62,↘ 147°,,,,,Estimated
星期六 00:10:2012:10上午,-27.2300-27.23,166.7863166.79,↘ 147°,,,,,Estimated
星期六 00:12:1912:12上午,-27.4605-27.46,166.9530166.95,↘ 147°,,,,,Estimated
星期六 00:14:1412:14上午,-27.6831-27.68,167.1147167.11,↘ 147°,,,,,Estimated
FlightAware ADS-B,,,
星期六 00:15:2812:15上午,-27.7612-27.76,167.3622167.36,↘ 142°,506,937,"11,88711887",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:16:0912:16上午,-27.8359-27.84,167.4283167.43,↘ 142°,504,933,"11,88011880",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:17:0512:17上午,-27.9387-27.94,167.5193167.52,↘ 142°,500,925,"11,88711887",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:17:4612:17上午,-28.0134-28.01,167.5855167.59,↘ 142°,501,929,"11,88011880",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:18:1612:18上午,-28.0673-28.07,167.6333167.63,↘ 142°,501,929,"11,88711887",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:18:5012:18上午,-28.1298-28.13,167.6924167.69,↘ 138°,516,956,"11,88011880",-6,FlightAware ADS-B  (NLK / YSNF)
星期六 00:19:3012:19上午,-28.1965-28.20,167.7685167.77,↘ 133°,529,980,"11,88011880",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:20:0012:20上午,-28.2470-28.25,167.8296167.83,↘ 133°,529,980,"11,88011880",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:20:3612:20上午,-28.3066-28.31,167.9016167.90,↘ 133°,526,974,"11,88011880",24,FlightAware ADS-B  (NLK / YSNF)
星期六 00:21:1512:21上午,-28.3735-28.37,167.9825167.98,↘ 133°,523,969,"11,91011910",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:21:5212:21上午,-28.4345-28.43,168.0565168.06,↘ 133°,519,961,"11,88011880",-14,FlightAware ADS-B  (NLK / YSNF)
星期六 00:22:2212:22上午,-28.4843-28.48,168.1166168.12,↘ 133°,522,967,"11,89511895",8,FlightAware ADS-B  (NLK / YSNF)
星期六 00:22:5312:22上午,-28.5352-28.54,168.1786168.18,↘ 133°,519,961,"11,88711887",-8,FlightAware ADS-B  (NLK / YSNF)
星期六 00:23:2312:23上午,-28.5844-28.58,168.2380168.24,↘ 133°,524,970,"11,88711887",-8,FlightAware ADS-B  (NLK / YSNF)
星期六 00:23:5312:23上午,-28.6340-28.63,168.2982168.30,↘ 133°,527,975,"11,88011880",-5,FlightAware ADS-B  (NLK / YSNF)
星期六 00:24:5312:24上午,-28.7348-28.73,168.4215168.42,↘ 133°,531,983,"11,88011880",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:25:2312:25上午,-28.7851-28.79,168.4831168.48,↘ 133°,534,990,"11,88011880",8,FlightAware ADS-B  (NLK / YSNF)
星期六 00:25:5412:25上午,-28.8358-28.84,168.5455168.55,↘ 133°,534,990,"11,88711887",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:26:4012:26上午,-28.9135-28.91,168.6409168.64,↘ 133°,536,993,"11,88011880",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:27:1012:27上午,-28.9638-28.96,168.7030168.70,↘ 133°,536,993,"11,88711887",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:27:5712:27上午,-29.0433-29.04,168.8012168.80,↘ 133°,536,993,"11,88011880",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:28:4112:28上午,-29.1174-29.12,168.8927168.89,↘ 133°,537,995,"11,88711887",5,FlightAware ADS-B  (NLK / YSNF)
星期六 00:29:2112:29上午,-29.1850-29.18,168.9763168.98,↘ 133°,537,995,"11,88711887",-6,FlightAware ADS-B  (NLK / YSNF)
星期六 00:29:5112:29上午,-29.2349-29.23,169.0381169.04,↘ 133°,537,995,"11,88011880",-8,FlightAware ADS-B  (NLK / YSNF)
星期六 00:30:2112:30上午,-29.2842-29.28,169.0994169.10,↘ 133°,536,993,"11,88011880",6,FlightAware ADS-B  (NLK / YSNF)
星期六 00:31:1212:31上午,-29.3714-29.37,169.2079169.21,↘ 133°,537,995,"11,88711887",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:31:4912:31上午,-29.4322-29.43,169.2840169.28,↘ 132°,536,993,"11,88011880",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:32:2312:32上午,-29.4900-29.49,169.3562169.36,↘ 132°,536,993,"11,88711887",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:33:0512:33上午,-29.5600-29.56,169.4439169.44,↘ 133°,535,991,"11,88011880",,FlightAware ADS-B  (NLK / YSNF)
Estimated,,,
星期六 00:35:1512:35上午,-29.8175-29.82,169.6122169.61,↘ 150°,,,,,Estimated
FlightAware ADS-B,,,
星期六 00:36:1112:36上午,-29.8723-29.87,169.8379169.84,↘ 132°,538,996,"11,88711887",,FlightAware ADS-B  (NLK / YSNF)
星期六 00:36:4112:36上午,-29.9237-29.92,169.9031169.90,↘ 132°,540,999,"11,88711887",-7,FlightAware ADS-B  (NLK / YSNF)
星期六 00:37:2012:37上午,-29.9915-29.99,169.9855169.99,↘ 137°,531,983,"11,88011880",-12,FlightAware ADS-B  (NLK / YSNF)
Estimated,,,
星期六 00:39:1712:39上午,-30.2258-30.23,170.1323170.13,↘ 152°,,,,,Estimated
星期六 00:40:1912:40上午,-30.3499-30.35,170.2105170.21,↘ 151°,,,,,Estimated
星期六 00:42:2012:42上午,-30.5919-30.59,170.3635170.36,↘ 151°,,,,,Estimated
星期六 00:44:1612:44上午,-30.8237-30.82,170.5109170.51,↘ 151°,,,,,Estimated
星期六 00:46:0512:46上午,-31.0414-31.04,170.6500170.65,↘ 151°,,,,,Estimated
星期六 00:47:1612:47上午,-31.1834-31.18,170.7412170.74,↘ 151°,,,,,Estimated
星期六 00:49:2012:49上午,-31.4311-31.43,170.9010170.90,↘ 151°,,,,,Estimated
New Zealand,,,
星期六 00:49:2612:49上午,-31.3833-31.38,171.1667171.17,↘ 151°,514,953,,,New Zealand
星期六 00:50:3012:50上午,-31.5000-31.50,171.2667171.27,↘ 144°,515,954,,,New Zealand
星期六 00:52:3412:52上午,-31.7500-31.75,171.4833171.48,↘ 144°,518,959,,,New Zealand
星期六 00:53:3612:53上午,-31.8667-31.87,171.5833171.58,↘ 144°,516,956,,,New Zealand
星期六 00:54:3812:54上午,-31.9833-31.98,171.6833171.68,↘ 144°,517,958,,,New Zealand
星期六 00:55:3912:55上午,-32.1000-32.10,171.7833171.78,↘ 144°,517,958,,,New Zealand
FlightAware ADS-B,,,
星期六 00:57:0412:57上午,-32.2622-32.26,171.9320171.93,↘ 143°,511,946,"11,88711887",,FlightAware ADS-B  (NZPA)
星期六 00:57:3412:57上午,-32.3195-32.32,171.9826171.98,↘ 143°,510,945,"11,88711887",-8,FlightAware ADS-B  (NZPA)
星期六 00:58:0412:58上午,-32.3761-32.38,172.0325172.03,↘ 143°,507,938,"11,88011880",,FlightAware ADS-B  (NZPA)
星期六 00:58:4512:58上午,-32.4517-32.45,172.0994172.10,↘ 143°,505,935,"11,88711887",6,FlightAware ADS-B  (NZPA)
星期六 00:59:1612:59上午,-32.5107-32.51,172.1515172.15,↘ 143°,507,938,"11,88711887",,FlightAware ADS-B  (NZPA)
星期六 00:59:4612:59上午,-32.5664-32.57,172.2009172.20,↘ 143°,506,937,"11,88711887",,FlightAware ADS-B  (NZPA)
星期六 01:00:1601:00上午,-32.6222-32.62,172.2505172.25,↘ 143°,506,937,"11,88711887",,FlightAware ADS-B  (NZPA)
星期六 01:01:0501:01上午,-32.7145-32.71,172.3330172.33,↘ 143°,508,941,"11,88711887",-5,FlightAware ADS-B  (NZPA)
星期六 01:01:5201:01上午,-32.8040-32.80,172.4129172.41,↘ 143°,510,945,"11,88011880",,FlightAware ADS-B  (NZPA)
星期六 01:02:2201:02上午,-32.8600-32.86,172.4629172.46,↘ 143°,514,953,"11,88711887",,FlightAware ADS-B  (NZPA)
星期六 01:03:2201:03上午,-32.9757-32.98,172.5668172.57,↘ 143°,515,954,"11,88011880",-5,FlightAware ADS-B  (NZPA)
星期六 01:03:5201:03上午,-33.0318-33.03,172.6174172.62,↘ 143°,512,948,"11,88011880",8,FlightAware ADS-B  (NZPA)
星期六 01:04:2201:04上午,-33.0897-33.09,172.6696172.67,↘ 143°,510,945,"11,88711887",,FlightAware ADS-B  (NZPA)
星期六 01:05:0101:05上午,-33.1627-33.16,172.7354172.74,↘ 143°,510,945,"11,88011880",,FlightAware ADS-B  (NZPA)
星期六 01:05:3201:05上午,-33.2202-33.22,172.7872172.79,↘ 143°,510,945,"11,88711887",,FlightAware ADS-B  (NZPA)
星期六 01:06:0201:06上午,-33.2759-33.28,172.8376172.84,↘ 143°,509,943,"11,88011880",,FlightAware ADS-B  (NZPA)
星期六 01:06:3801:06上午,-33.3441-33.34,172.8996172.90,↘ 143°,509,943,"11,88711887",7,FlightAware ADS-B  (NZPA)
星期六 01:07:1101:07上午,-33.4053-33.41,172.9552172.96,↘ 143°,508,941,"11,88711887",,FlightAware ADS-B  (NZPA)
星期六 01:07:5201:07上午,-33.4817-33.48,173.0250173.03,↘ 143°,507,938,"11,88711887",,FlightAware ADS-B  (NZJW)
星期六 01:08:2701:08上午,-33.5471-33.55,173.0847173.08,↘ 143°,509,943,"11,88711887",-7,FlightAware ADS-B  (NZJW)
星期六 01:08:5901:08上午,-33.6058-33.61,173.1385173.14,↘ 143°,510,945,"11,88011880",,FlightAware ADS-B  (NZRW)
星期六 01:09:2901:09上午,-33.6613-33.66,173.1894173.19,↘ 143°,511,946,"11,88711887",7,FlightAware ADS-B  (NZRW)
星期六 01:10:0601:10上午,-33.7315-33.73,173.2537173.25,↘ 143°,508,941,"11,88711887",-6,FlightAware ADS-B  (NZPA)
星期六 01:10:4201:10上午,-33.7988-33.80,173.3158173.32,↘ 142°,508,941,"11,88011880",,FlightAware ADS-B  (NZPA)
星期六 01:11:0201:11上午,-33.8366-33.84,173.3504173.35,↘ 144°,505,935,"11,88711887",,FlightAware ADS-B  (AMZ / NZAR)
星期六 01:11:3401:11上午,-33.9027-33.90,173.3886173.39,↓ 164°,487,901,"11,88011880",-6,FlightAware ADS-B  (NZPA)
星期六 01:12:1501:12上午,-33.9897-33.99,173.4032173.40,↓ 174°,477,884,"11,88011880",6,FlightAware ADS-B  (WRE / NZWR)
星期六 01:12:4501:12上午,-34.0574-34.06,173.4111173.41,↓ 174°,475,880,"11,88711887",8,FlightAware ADS-B  (WRE / NZWR)
星期六 01:13:1501:13上午,-34.1222-34.12,173.4191173.42,↓ 174°,475,880,"11,88711887",,FlightAware ADS-B  (WRE / NZWR)
星期六 01:13:4701:13上午,-34.1947-34.19,173.4276173.43,↓ 175°,478,885,"11,88711887",-6,FlightAware ADS-B  (AKL / NZAA)
星期六 01:14:3401:14上午,-34.2982-34.30,173.4399173.44,↓ 174°,480,888,"11,88011880",,FlightAware ADS-B  (NZJW)
星期六 01:15:2101:15上午,-34.4022-34.40,173.4523173.45,↓ 174°,479,887,"11,88711887",,FlightAware ADS-B  (NZJW)
星期六 01:15:5101:15上午,-34.4675-34.47,173.4603173.46,↓ 174°,480,888,"11,88011880",,FlightAware ADS-B  (NZRW)
星期六 01:16:2101:16上午,-34.5342-34.53,173.4684173.47,↓ 174°,479,887,"11,88711887",8,FlightAware ADS-B  (AMZ / NZAR)
星期六 01:16:5101:16上午,-34.6008-34.60,173.4764173.48,↓ 175°,481,892,"11,88711887",,FlightAware ADS-B  (NZRW)
星期六 01:17:2101:17上午,-34.6667-34.67,173.4843173.48,↓ 174°,483,895,"11,88711887",,FlightAware ADS-B  (NZRW)
星期六 01:17:5101:17上午,-34.7336-34.73,173.4924173.49,↓ 174°,482,893,"11,88711887",,FlightAware ADS-B  (NZRW)
星期六 01:18:2101:18上午,-34.8002-34.80,173.5005173.50,↓ 174°,483,895,"11,88711887",-8,FlightAware ADS-B  (NZRW)
星期六 01:18:5201:18上午,-34.8681-34.87,173.5087173.51,↓ 174°,481,892,"11,88011880",,FlightAware ADS-B  (NZRW)
星期六 01:19:2201:19上午,-34.9340-34.93,173.5168173.52,↓ 174°,481,892,"11,88711887",8,FlightAware ADS-B  (AMZ / NZAR)
星期六 01:19:5201:19上午,-34.9990-35.00,173.5246173.52,↓ 174°,483,895,"11,88711887",,FlightAware ADS-B  (AKL / NZAA)
星期六 01:20:2401:20上午,-35.0721-35.07,173.5335173.53,↓ 174°,483,895,"11,88711887",-7,FlightAware ADS-B  (TMZ / NZTH)
星期六 01:20:5501:20上午,-35.1427-35.14,173.5422173.54,↓ 174°,483,895,"11,88011880",-8,FlightAware ADS-B  (AKL / NZAA)
星期六 01:21:2501:21上午,-35.2098-35.21,173.5504173.55,↓ 174°,482,893,"11,88011880",-175,FlightAware ADS-B  (NZWP)
星期六 01:21:5501:21上午,-35.2748-35.27,173.5584173.56,↓ 174°,474,877,"11,70411704",-556,FlightAware ADS-B  (WRE / NZWR)
星期六 01:22:2501:22上午,-35.3398-35.34,173.5664173.57,↓ 174°,475,880,"11,32311323",-785,FlightAware ADS-B  (WRE / NZWR)
星期六 01:22:5501:22上午,-35.4068-35.41,173.5746173.57,↓ 174°,479,887,"10,91910919",-693,FlightAware ADS-B  (TMZ / NZTH)
星期六 01:23:2501:23上午,-35.4722-35.47,173.5825173.58,↓ 174°,472,874,"10,63010630",-579,FlightAware ADS-B  (AKL / NZAA)
星期六 01:23:5501:23上午,-35.5367-35.54,173.5902173.59,↓ 174°,466,863,"10,34010340",-572,FlightAware ADS-B  (AKL / NZAA)
星期六 01:24:2501:24上午,-35.6006-35.60,173.5984173.60,↓ 174°,467,864,"10,05810058",-579,FlightAware ADS-B  (AMZ / NZAR)
星期六 01:24:5501:24上午,-35.6655-35.67,173.6065173.61,↓ 174°,467,864,"9,7619761",-602,FlightAware ADS-B  (NZJW)
星期六 01:25:2501:25上午,-35.7309-35.73,173.6146173.61,↓ 174°,471,872,"9,4569456",-632,FlightAware ADS-B  (AMZ / NZAR)
星期六 01:25:5501:25上午,-35.7966-35.80,173.6228173.62,↓ 174°,459,850,"9,1299129",-625,FlightAware ADS-B  (NZPK)
星期六 01:26:2501:26上午,-35.8578-35.86,173.6308173.63,↓ 174°,451,835,"8,8328832",-617,FlightAware ADS-B  (NZJA)
星期六 01:26:5501:26上午,-35.9204-35.92,173.6383173.64,↓ 175°,439,813,"8,5128512",-632,FlightAware ADS-B  (NZPK)
星期六 01:27:2501:27上午,-35.9815-35.98,173.6456173.65,↓ 174°,431,798,"8,1998199",-625,FlightAware ADS-B  (NZPK)
星期六 01:27:5501:27上午,-36.0406-36.04,173.6529173.65,↓ 174°,423,784,"7,8877887",-607,FlightAware ADS-B  (NZPK)
星期六 01:28:2601:28上午,-36.0980-36.10,173.6602173.66,↓ 174°,420,777,"7,5827582",-622,FlightAware ADS-B  (NZWP)
星期六 01:28:5601:28上午,-36.1574-36.16,173.6677173.67,↓ 174°,415,769,"7,2547254",-648,FlightAware ADS-B  (NZWP)
星期六 01:29:2601:29上午,-36.2148-36.21,173.6750173.68,↓ 174°,409,758,"6,9346934",-632,FlightAware ADS-B  (NZWP)
星期六 01:29:5601:29上午,-36.2708-36.27,173.6820173.68,↓ 174°,404,748,"6,6226622",-625,FlightAware ADS-B  (NZPK)
星期六 01:30:2601:30上午,-36.3255-36.33,173.6888173.69,↓ 174°,400,740,"6,3096309",-610,FlightAware ADS-B  (AKL / NZAA)
星期六 01:30:4701:30上午,-36.3621-36.36,173.6937173.69,↓ 172°,396,734,"6,1046104",-630,FlightAware ADS-B  (WRE / NZWR)
星期六 01:31:0301:31上午,-36.3936-36.39,173.7054173.71,↘ 155°,394,729,"5,9215921",-635,FlightAware ADS-B  (AKL / NZAA)
星期六 01:31:2301:31上午,-36.4217-36.42,173.7284173.73,↘ 138°,390,723,"5,7235723",-618,FlightAware ADS-B  (NPL / NZNP)
星期六 01:31:5401:31上午,-36.4622-36.46,173.7775173.78,↘ 136°,385,713,"5,3955395",-622,FlightAware ADS-B  (AKL / NZAA)
星期六 01:32:2401:32上午,-36.5002-36.50,173.8235173.82,↘ 135°,379,702,"5,0905090",-602,FlightAware ADS-B  (AKL / NZAA)
星期六 01:32:5401:32上午,-36.5369-36.54,173.8681173.87,↘ 135°,372,689,"4,7934793",-597,FlightAware ADS-B  (AKL / NZAA)
星期六 01:33:2601:33上午,-36.5766-36.58,173.9165173.92,↘ 135°,356,660,"4,4734473",-561,FlightAware ADS-B  (TMZ / NZTH)
星期六 01:33:5601:33上午,-36.6109-36.61,173.9584173.96,↘ 136°,342,634,"4,2144214",-526,FlightAware ADS-B  (TMZ / NZTH)
星期六 01:34:2601:34上午,-36.6442-36.64,173.9993174.00,↘ 135°,339,628,"3,9473947",-541,FlightAware ADS-B  (TMZ / NZTH)
星期六 01:34:5601:34上午,-36.6771-36.68,174.0394174.04,↘ 136°,337,624,"3,6733673",-547,FlightAware ADS-B  (NZJN)
星期六 01:35:2701:35上午,-36.7116-36.71,174.0817174.08,↘ 135°,333,616,"3,3913391",-465,FlightAware ADS-B  (TMZ / NZTH)
星期六 01:35:5701:35上午,-36.7443-36.74,174.1219174.12,↘ 135°,322,597,"3,2003200",-267,FlightAware ADS-B  (TMZ / NZTH)
星期六 01:36:2701:36上午,-36.7742-36.77,174.1587174.16,↘ 135°,300,555,"3,1243124",-175,FlightAware ADS-B  (HLZ / NZHN)
星期六 01:36:5201:36上午,-36.7981-36.80,174.1881174.19,↘ 135°,286,529,"3,0403040",-324,FlightAware ADS-B  (HLZ / NZHN)
星期六 01:37:2201:37上午,-36.8270-36.83,174.2235174.22,↘ 135°,284,526,"2,8272827",-404,FlightAware ADS-B  (TMZ / NZTH)
星期六 01:37:5201:37上午,-36.8545-36.85,174.2574174.26,↘ 135°,280,518,"2,6372637",-404,FlightAware ADS-B  (NZWP)
星期六 01:38:2201:38上午,-36.8818-36.88,174.2913174.29,↘ 135°,279,517,"2,4232423",-404,FlightAware ADS-B  (TMZ / NZTH)
星期六 01:38:5201:38上午,-36.9081-36.91,174.3237174.32,↘ 135°,273,505,"2,2332233",-404,FlightAware ADS-B  (NZBC)
星期六 01:39:2201:39上午,-36.9366-36.94,174.3589174.36,↘ 136°,269,499,"2,0192019",-404,FlightAware ADS-B  (AKL / NZAA)
星期六 01:39:5201:39上午,-36.9622-36.96,174.3905174.39,↘ 135°,269,499,"1,8291829",-396,FlightAware ADS-B  (NZKE)
星期六 01:40:2201:40上午,-36.9897-36.99,174.4248174.42,↘ 135°,269,499,"1,6231623",-404,FlightAware ADS-B  (GBZ / NZGB)
星期六 01:40:5201:40上午,-37.0152-37.02,174.4564174.46,↘ 135°,266,492,"1,4251425",-312,FlightAware ADS-B  (AKL / NZAA)
星期六 01:41:2201:41上午,-37.0413-37.04,174.4886174.49,↘ 135°,244,452,"1,3111311",-175,FlightAware ADS-B  (AKL / NZAA)
星期六 01:41:5201:41上午,-37.0632-37.06,174.5159174.52,↘ 134°,216,401,"1,2501250",-99,FlightAware ADS-B  (AMZ / NZAR)
星期六 01:42:0801:42上午,-37.0730-37.07,174.5296174.53,↘ 123°,198,367,"1,2341234",-125,FlightAware ADS-B  (AMZ / NZAR)
星期六 01:42:2501:42上午,-37.0759-37.08,174.5488174.55,→ 84°,186,344,"1,1811181",-247,FlightAware ADS-B  (TMZ / NZTH)
星期六 01:42:4501:42上午,-37.0719-37.07,174.5690174.57,→ 73°,181,335,"1,0821082",-311,FlightAware ADS-B  (NZDY)
星期六 01:43:1501:43上午,-37.0640-37.06,174.5979174.60,→ 71°,178,330,922922,-312,FlightAware ADS-B  (AKL / NZAA)
星期六 01:43:4501:43上午,-37.0561-37.06,174.6264174.63,→ 71°,166,307,770770,-282,FlightAware ADS-B  (NZWP)
星期六 01:44:1501:44上午,-37.0489-37.05,174.6528174.65,→ 71°,151,280,640640,-244,FlightAware ADS-B  (AKL / NZAA)
星期六 01:44:4501:44上午,-37.0425-37.04,174.6758174.68,→ 71°,142,262,526526,-239,FlightAware ADS-B  (NZPI)
