时间 (CST)CST,纬度纬度,经度经度,航向航向,节,公里/小时,米,爬升率,报告设施

Airline,,,
星期五 14:09:0002:09下午    离开停机位 (PVG) @ 星期五 14:09:00 CST,,,Airline
Surface and Near-Surface,,,
滑行时间: 47 分钟,,,
星期五 14:56:0802:56下午    出发 (PVG) @ 星期五 14:56:08 CST,,,Surface and Near-Surface
星期五 15:59:5003:59下午,31.273931.27,130.7420130.74,↓ 162°,519,961,"10,05810058",,FlightAware ADS-B  (KMI / RJFM)
星期五 16:00:2404:00下午,31.195131.20,130.7715130.77,↓ 162°,519,961,"10,05810058",,FlightAware ADS-B  (NGS / RJFU)
星期五 16:00:5404:00下午,31.126431.13,130.7971130.80,↓ 162°,519,961,"10,05810058",,FlightAware ADS-B  (RJFY)
星期五 16:01:2404:01下午,31.057631.06,130.8228130.82,↓ 162°,520,962,"10,05810058",,FlightAware ADS-B  (RJFY)
星期五 16:01:5404:01下午,30.989030.99,130.8483130.85,↓ 162°,520,962,"10,05810058",,FlightAware ADS-B  (RJFY)
星期五 16:02:2404:02下午,30.920030.92,130.8739130.87,↓ 162°,521,966,"10,05810058",-8,FlightAware ADS-B  (RJFY)
星期五 16:02:5404:02下午,30.850830.85,130.8996130.90,↓ 162°,521,966,"10,05110051",-8,FlightAware ADS-B  (RJFY)
星期五 16:03:2404:03下午,30.781530.78,130.9253130.93,↓ 162°,523,969,"10,05110051",8,FlightAware ADS-B  (RJFY)
星期五 16:03:5404:03下午,30.713630.71,130.9503130.95,↓ 162°,523,969,"10,05810058",9,FlightAware ADS-B  (RJFY)
星期五 16:04:1804:04下午,30.655930.66,130.9740130.97,↓ 156°,530,982,"10,05810058",-6,FlightAware ADS-B  (KMI / RJFM)
星期五 16:05:1004:05下午,30.552330.55,131.0555131.06,↘ 143°,540,999,"10,05110051",,FlightAware ADS-B  (RJFY)
星期五 16:05:4004:05下午,30.491230.49,131.1043131.10,↘ 148°,533,987,"10,05810058",8,FlightAware ADS-B  (NGS / RJFU)
星期五 16:06:1104:06下午,30.424330.42,131.1476131.15,↘ 152°,528,978,"10,05810058",-7,FlightAware ADS-B  (NGS / RJFU)
星期五 16:06:4404:06下午,30.352930.35,131.1921131.19,↘ 153°,527,975,"10,05110051",14,FlightAware ADS-B  (RJFY)
星期五 16:07:1504:07下午,30.282130.28,131.2366131.24,↘ 149°,534,990,"10,07410074",126,FlightAware ADS-B  (KMI / RJFM)
星期五 16:07:4904:07下午,30.213330.21,131.2856131.29,↘ 148°,537,995,"10,18810188",197,FlightAware ADS-B  (KMI / RJFM)
星期五 16:08:2004:08下午,30.148430.15,131.3333131.33,↘ 148°,537,995,"10,28710287",202,FlightAware ADS-B  (NGS / RJFU)
星期五 16:08:5004:08下午,30.085630.09,131.3797131.38,↘ 147°,538,996,"10,39410394",221,FlightAware ADS-B  (NGS / RJFU)
星期五 16:09:2004:09下午,30.023130.02,131.4260131.43,↘ 147°,537,995,"10,50810508",236,FlightAware ADS-B  (NGS / RJFU)
星期五 16:09:5004:09下午,29.960629.96,131.4726131.47,↘ 147°,535,991,"10,63010630",157,FlightAware ADS-B  (NGS / RJFU)
星期五 16:10:2104:10下午,29.897429.90,131.5198131.52,↘ 147°,531,983,"10,66810668",26,FlightAware ADS-B  (RJFY)
星期五 16:11:0004:11下午,29.815829.82,131.5808131.58,↘ 146°,526,974,"10,66010660",,FlightAware ADS-B  (RJFY)
星期五 16:11:3004:11下午,29.756229.76,131.6291131.63,↘ 144°,529,980,"10,66810668",,FlightAware ADS-B  (KMI / RJFM)
星期五 16:12:0904:12下午,29.677329.68,131.6951131.70,↘ 144°,528,978,"10,66010660",,FlightAware ADS-B  (KMI / RJFM)
星期五 16:12:4004:12下午,29.616429.62,131.7455131.75,↘ 144°,523,969,"10,66810668",8,FlightAware ADS-B  (KMI / RJFM)
星期五 16:13:1004:13下午,29.556129.56,131.7947131.79,↘ 145°,525,972,"10,66810668",,FlightAware ADS-B  (KMI / RJFM)
星期五 16:13:4804:13下午,29.480329.48,131.8563131.86,↘ 145°,525,972,"10,66810668",-7,FlightAware ADS-B  (KMI / RJFM)
星期五 16:14:1904:14下午,29.420329.42,131.9049131.90,↘ 145°,526,974,"10,66010660",-8,FlightAware ADS-B  (KMI / RJFM)
