_id,bid,comment_num,content,created_at,like_num,repost_num,tool,user_id,weibo_url
4896920596907450,MEFlxsYWu,344,【马住！#简单动作灵活膝关节#】膝盖伸不直，总感觉发软？推荐一个动作，不仅能拉伸大腿的前群股四头肌，还能灵活膝关节↓↓转存，练习试试！央视一套的微博视频 ,2023-05-02,663,290,微博视频号,2803301701,https://m.weibo.cn/detail/4896920596907450
4896913382706145,MEF9UblZv,519,【小调查：#选旅游目的地你最看重什么#？】五一小长假，你外出旅游了吗？在计划旅游目的地时，哪些因素是你优先考虑的？#你会因为美食去旅游吗#？网红打卡地、演出展览、带娃胜地、自然风光……戳投票↓↓  网页链接 ,2023-05-02,22362,265,微博网页版,2803301701,https://m.weibo.cn/detail/4896913382706145
4896901922557163,MEERqaJez,330,【人民日报仲音：#勇敢肩负起时代赋予的重任#】在基层工作一线摸爬滚打，在科技攻关岗位奋力攀登，在抢险救灾前线冲锋陷阵，在保卫祖国哨位威武守护…今天，广大青年肩负起时代赋予的重任，绽放出自信自强、刚健有为的精神风貌和青春光彩。#激扬青春# 人民日报仲音：勇敢肩负起时代赋予的重任 ,2023-05-02,1411,560,微博 weibo.com,2803301701,https://m.weibo.cn/detail/4896901922557163
4896890683130417,MEEzid8mB,339,【#防治哮喘须先控制过敏性鼻炎#】哮喘是一种常见的呼吸道疾病，因为难以根治，被世界卫生组织列为四大顽症之一。专家介绍，#过敏性鼻炎是发展为哮喘的高危因素#，通过治疗过敏性鼻炎可减轻哮喘症状、降低发病率。今天是“世界哮喘日”，了解周知↓↓（央视） 人民日报的微博视频 ,2023-05-02,1078,553,微博视频号,2803301701,https://m.weibo.cn/detail/4896890683130417
4896883737101915,MEEo5tNx1,740,【全程高燃！#当歼20遇上国风bgm#】腾空而起、直冲云霄、爬升翻滚…这些歼-20的高燃瞬间，你见过吗↓↓#歼20质感大片#，戳视频感受~央视军事的微博视频 ,2023-05-02,4699,828,微博视频号,2803301701,https://m.weibo.cn/detail/4896883737101915
4896872533593913,MEE61f4Wl,2022,【致敬！#假期依然坚守岗位的劳动者#】交警、消防员、武警官兵、环卫工人、医护人员、工人…这个五一假期，有无数人坚守在岗位上。致敬之余，也要让更多假日加班的劳动者得到相应报酬，享受到更多保障。你们辛苦了！#光荣属于劳动者# ,2023-05-02,9745,2049,微博网页版,2803301701,https://m.weibo.cn/detail/4896872533593913
4896865651261668,MEDUV5idu,824,【万千宠爱！#花花所在幼年熊猫别墅有多火爆#】大熊猫“花花”，身材矮胖，行动缓慢，经常被其他大熊猫抢食，憨态可掬萌化粉丝的心。在成都大熊猫繁育研究基地，“五一”游客剧增，#来看花花的游客排起了长队#，以“花花果赖”为主题的部分周边产品已经缺货…… 排队超2小时，吸“猫”3分钟！成都大熊猫周边卖缺货 ,2023-05-02,5117,545,微博 weibo.com,2803301701,https://m.weibo.cn/detail/4896865651261668
4896852396214872,MEDzxq4LS,773,【小投票：#你会因为美食去旅游吗#】#五一假期还剩2天#，人们出去旅游的动机各不相同，有的人因为想看风景，也有的人纯粹因为想吃美食。统计数据显示，#四成游客旅游都是为了吃#，你会因为想吃剁椒鱼头就去湖南长沙旅游吗？戳视频，参与投票写出你的答案↓↓↓ 人民日报的微博视频 ,2023-05-02,3457,339,微博视频号,2803301701,https://m.weibo.cn/detail/4896852396214872
4896844021237492,MEDm25bVy,2242,【成功需要日复一日的努力，必须坚持到底】我们总在向往成功，但也需要明白成功并非一蹴而就的。它源于点滴的积累，也在于日常习惯的养成。坚持终身学习，设定长远目标，合理规划时间…提升自我的9个好习惯↓↓#五一假期还剩2天#，抓住机会，提升自我。早安！ ,2023-05-02,6770,3713,微博网页版,2803301701,https://m.weibo.cn/detail/4896844021237492
4896724294304011,MEAeVi3Fx,1505,【#你好，明天#】今天，“五一”国际劳动节。无论我在岗，还是“我在场”，每一种坚守都有不寻常的意义。再平凡的岗位，也能干出不平凡的业绩，致敬每一个努力生活的人，愿你的每一滴汗水都不被辜负，愿你获得饱满而富有质感的幸福。 ,2023-05-01,4512,1157,微博网页版,2803301701,https://m.weibo.cn/detail/4896724294304011
4896708562000102,MEzPy8ojI,1394,【好听！#张杰燃唱奔腾#，致敬劳动者】“取千山冰雪皑皑，入我襟怀；听惊涛拍岸卷起，神州风采。”@张杰 演唱歌曲《奔腾》，用歌声致敬所有劳动者。每一个努力的你，都闪闪发光！戳视频↓↓ 人民日报的微博视频 ,2023-05-01,16280,3279,微博视频号,2803301701,https://m.weibo.cn/detail/4896708562000102
4896700260946299,MEzCa3YaT,3510,【心怀热爱，奔赴山海！#周深向光而行#】“迎着光，追着光，向光而行为热爱；再跌撞，也要闯，十年一日不更改。”五一劳动节，@卡布叻_周深 动情演唱歌曲《向光而行》，#周深追光歌唱太暖了#，送给屏幕前拼搏奋斗的你和我↓↓共勉，一起听！ 网页链接 ,2023-05-01,41903,7916,微博视频号,2803301701,https://m.weibo.cn/detail/4896700260946299
4896688395262205,MEzj1m4Wh,547,【全国游泳冠军赛：#潘展乐男子100米自由泳打破亚洲纪录#】#潘展乐打破亚洲纪录夺冠# 在5月1日晚进行的2023年全国游泳冠军赛男子100米自由泳决赛中，浙江队选手潘展乐以47秒22夺得冠军，成绩超过该项目亚洲纪录（47秒56），恭喜！（人民日报记者孙龙飞） ,2023-05-01,4022,372,微博网页版,2803301701,https://m.weibo.cn/detail/4896688395262205
4896683098642135,MEzatAgdh,455,【小调查：五一假期过半，#假期最后2天准备怎么过#？】今天是5月的第1天，也是五一假期的第3天。过去几天，你过得还充实吗？#五一假期余额2天#，你打算如何度过？戳投票↓↓  网页链接 ,2023-05-01,22869,180,微博网页版,2803301701,https://m.weibo.cn/detail/4896683098642135
4896673296291547,MEyUFqoIz,445,【马住！#消防员版4分钟高效燃脂训练#】每逢佳节胖三斤？“五一”假期，会吃也要会动。#一组动作让你假期不养膘#，跟“蓝朋友”一起练起来吧！（广东消防） 人民日报的微博视频 ,2023-05-01,4080,1807,微博视频号,2803301701,https://m.weibo.cn/detail/4896673296291547
